,0
SK_ID_CURR,276387.0
TARGET,1.0
CODE_GENDER,1.0
FLAG_OWN_CAR,0.0
FLAG_OWN_REALTY,0.0
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,157500.0
AMT_CREDIT,497520.0
AMT_ANNUITY,25402.5
AMT_GOODS_PRICE,450000.0
REGION_POPULATION_RELATIVE,0.018634
DAYS_BIRTH,-14463.0
DAYS_EMPLOYED,-1568.0
DAYS_REGISTRATION,-4069.0
DAYS_ID_PUBLISH,-2826.0
FLAG_MOBIL,1.0
FLAG_EMP_PHONE,1.0
FLAG_WORK_PHONE,0.0
FLAG_CONT_MOBILE,1.0
FLAG_PHONE,0.0
FLAG_EMAIL,0.0
CNT_FAM_MEMBERS,2.0
REGION_RATING_CLIENT,2.0
REGION_RATING_CLIENT_W_CITY,2.0
HOUR_APPR_PROCESS_START,12.0
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.5073457151885262
EXT_SOURCE_2,0.4423108435424179
EXT_SOURCE_3,0.4507472818545589
APARTMENTS_AVG,0.08645
BASEMENTAREA_AVG,0.0755
YEARS_BEGINEXPLUATATION_AVG,0.9816
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.1379
FLOORSMAX_AVG,0.1667
LANDAREA_AVG,0.048
LIVINGAREA_AVG,0.0733
NONLIVINGAREA_AVG,0.0035
APARTMENTS_MODE,0.084
BASEMENTAREA_MODE,0.074
YEARS_BEGINEXPLUATATION_MODE,0.9816
ELEVATORS_MODE,0.0
ENTRANCES_MODE,0.1379
FLOORSMAX_MODE,0.1667
LANDAREA_MODE,0.0458
LIVINGAREA_MODE,0.0726
NONLIVINGAREA_MODE,0.0011
APARTMENTS_MEDI,0.0854
BASEMENTAREA_MEDI,0.0751
YEARS_BEGINEXPLUATATION_MEDI,0.9816
ELEVATORS_MEDI,0.0
ENTRANCES_MEDI,0.1379
FLOORSMAX_MEDI,0.1667
LANDAREA_MEDI,0.0485
LIVINGAREA_MEDI,0.0739
NONLIVINGAREA_MEDI,0.003
TOTALAREA_MODE,0.0683
OBS_30_CNT_SOCIAL_CIRCLE,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,-694.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,1.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,2.0
NAME_CONTRACT_TYPE_Cash loans,1.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
NAME_TYPE_SUITE_Children,0.0
NAME_TYPE_SUITE_Family,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.0
NAME_TYPE_SUITE_Other_B,0.0
"NAME_TYPE_SUITE_Spouse, partner",0.0
NAME_TYPE_SUITE_Unaccompanied,1.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Working,1.0
NAME_EDUCATION_TYPE_Academic degree,0.0
NAME_EDUCATION_TYPE_Higher education,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,1.0
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Married,1.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_FAMILY_STATUS_Single / not married,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_FAMILY_STATUS_Widow,0.0
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_HOUSING_TYPE_House / apartment,1.0
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
NAME_HOUSING_TYPE_With parents,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Cleaning staff,0.0
OCCUPATION_TYPE_Cooking staff,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Drivers,0.0
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Laborers,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0
OCCUPATION_TYPE_Managers,0.0
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Private service staff,0.0
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Sales staff,0.0
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security staff,0.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Business Entity Type 1,0.0
ORGANIZATION_TYPE_Business Entity Type 2,0.0
ORGANIZATION_TYPE_Business Entity Type 3,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,0.0
ORGANIZATION_TYPE_Hotel,0.0
ORGANIZATION_TYPE_Housing,0.0
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,0.0
ORGANIZATION_TYPE_Industry: type 4,0.0
ORGANIZATION_TYPE_Industry: type 5,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,0.0
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Realtor,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,0.0
ORGANIZATION_TYPE_School,0.0
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,0.0
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
